ID,Match_Id,Team_1,Team_2,Match_Date,Season_Id,Venue_Id,Toss_Winner,Toss_Decide,Win_Type,Win_Margin,Outcome_type,Match_Winner,Man_of_the_Match
139,419134,5,3,28/03/10,3,19,5,2,1,17,1,5,183
140,419135,8,7,28/03/10,3,9,8,1,1,41,1,7,50
141,419136,6,1,29/03/10,3,3,6,2,1,40,1,6,187
142,419137,7,4,30/03/10,3,18,7,1,2,4,1,7,194
143,419138,3,2,31/03/10,3,8,2,2,2,5,1,3,185
144,419139,6,5,31/03/10,3,3,6,2,1,67,1,6,88
145,419140,1,8,01/04/10,3,5,1,2,1,24,1,1,1
146,419141,4,2,02/04/10,3,2,4,2,2,6,1,2,158
147,419142,3,5,03/04/10,3,8,3,2,1,23,1,3,185
148,419143,7,8,03/04/10,3,18,7,2,1,63,1,7,208
149,419144,1,4,04/04/10,3,5,1,2,2,8,1,4,64
150,419145,6,2,04/04/10,3,3,6,2,1,37,1,6,241
151,419146,8,5,05/04/10,3,21,5,2,1,2,1,5,38
152,419147,3,7,06/04/10,3,8,3,2,1,24,1,3,21
153,419148,5,4,07/04/10,3,6,4,2,2,9,1,5,224
154,419149,1,6,07/04/10,3,5,1,2,1,14,1,1,1
155,419150,2,8,08/04/10,3,1,8,1,2,7,1,8,178
156,419151,4,7,09/04/10,3,2,7,2,2,6,1,4,26
157,419152,8,3,10/04/10,3,21,3,2,2,6,1,8,188
158,419153,2,1,10/04/10,3,1,2,1,2,7,1,2,81
159,419154,6,4,11/04/10,3,3,6,2,2,7,1,4,67
160,419155,5,7,11/04/10,3,6,5,1,1,37,1,7,133
161,419156,8,2,12/04/10,3,21,2,1,1,13,1,8,256
162,419157,7,6,13/04/10,3,18,7,2,1,39,1,7,221
163,419158,3,1,13/04/10,3,8,1,2,2,9,1,3,201
164,419159,5,2,14/04/10,3,6,5,2,2,5,1,2,158
165,419160,3,6,15/04/10,3,8,3,2,2,6,1,6,40
166,419161,4,8,16/04/10,3,22,8,1,2,5,1,8,57
167,419162,2,7,17/04/10,3,1,2,1,1,57,1,7,210
168,419163,1,5,17/04/10,3,5,5,2,2,8,1,1,346
169,419164,4,3,18/04/10,3,22,3,1,2,6,1,3,20
170,419165,6,8,18/04/10,3,3,8,2,1,11,1,8,56
171,419166,1,7,19/04/10,3,5,7,2,2,9,1,1,83
172,419167,2,7,21/04/10,3,9,7,2,1,35,1,7,221
173,419168,3,8,22/04/10,3,9,3,2,1,38,1,3,248
174,419169,2,8,24/04/10,3,9,8,2,2,9,1,2,124
175,419170,3,7,25/04/10,3,9,3,2,1,22,1,3,21
176,501203,3,1,08/04/11,4,8,3,2,1,2,1,3,125
177,501204,8,5,09/04/11,4,7,5,1,2,8,1,5,39
178,501205,9,2,09/04/11,4,23,9,2,2,6,1,2,110
179,501206,6,7,10/04/11,4,3,6,2,2,8,1,7,194
180,501207,10,4,10/04/11,4,9,4,2,2,7,1,10,273
181,501208,1,8,11/04/11,4,5,1,2,1,9,1,1,9
182,501209,5,6,12/04/11,4,6,6,2,2,6,1,5,38
183,501210,2,7,12/04/11,4,1,7,1,2,9,1,7,133
184,501211,4,3,13/04/11,4,2,4,1,2,6,1,4,167
185,501212,10,9,13/04/11,4,9,9,2,2,4,1,10,231
186,501213,8,2,14/04/11,4,7,2,1,1,33,1,8,94
187,501214,5,1,15/04/11,4,6,1,1,2,9,1,1,40
188,501215,7,9,15/04/11,4,4,9,1,2,8,1,9,2
189,501216,3,2,16/04/11,4,8,3,2,1,21,1,3,19
190,501217,8,4,16/04/11,4,7,4,1,2,8,1,4,167
191,501218,10,6,17/04/11,4,9,6,1,2,3,1,6,27
192,501219,1,5,17/04/11,4,5,1,1,2,8,1,1,151
193,501220,9,3,18/04/11,4,23,9,1,2,7,1,9,2
194,501221,6,8,19/04/11,4,3,8,2,1,16,1,8,65
195,501223,7,10,20/04/11,4,4,10,2,2,7,1,7,126
196,501224,1,9,20/04/11,4,5,1,1,1,6,1,9,64
197,501225,4,5,21/04/11,4,2,5,1,1,48,1,4,100
198,501226,7,3,22/04/11,4,4,3,1,1,8,1,7,50
199,501227,1,2,22/04/11,4,5,2,1,2,9,1,2,162
200,501228,6,4,23/04/11,4,3,4,1,1,29,1,6,187
201,501229,8,7,24/04/11,4,7,8,1,1,37,1,7,194
202,501230,5,9,24/04/11,4,6,5,1,2,8,1,5,38
203,501231,3,10,25/04/11,4,8,10,1,1,25,1,3,19
204,501232,6,2,26/04/11,4,3,2,1,2,3,1,2,8
205,501233,10,3,27/04/11,4,9,10,2,2,8,1,3,248
206,501234,9,8,27/04/11,4,23,9,1,1,55,1,8,84
207,501235,6,1,28/04/11,4,3,6,1,1,17,1,1,87
208,501236,5,7,29/04/11,4,6,5,1,2,7,1,5,192
